original_id,Name,Entity Group ID,Entity Category,Entity Subgroup ID
13844,Boudreau Architecture Design Studio,Firm,,
13845,American Pacific Mortgage,Firm,,
13846,"Butler Spink, LLP",Firm,,
13847,Carey Perkins,Firm,,
13854,Sundown Woodwork LLC,Firm,,
13855,"Thomas Dean & Hoskins, Inc.",Firm,,
13862,AFS Idaho LLC,,,
13863,"DG Group Architecture, PLLC",Firm,,
13864,"Garden City Mobile Estates, Inc.",Firm,,
13865,"Mill Creek Architecture, LLC",Firm,,
13866,Paige Excavation LLC,Firm,,
13867,"STUDIOMK, PLLC",Firm,,
13870,Lejeune Alliance (The),Firm,,
13872,Valley Land Surveying PLLC,Firm,,
13875,Aberdeen-Springfield Canal Company,Firm,,
13876,Alliance Canal Company,Firm,,
13879,Aspen Lakes Canal Company,Firm,,
13881,Bacon Valley Ditch Company,Firm,,
13882,Bannock Jim Slough Canal Company,Firm,,
13883,Base Line Canal Company,Firm,,
13885,Bear Trap Canal Company,Firm,,
13886,"Bee Line Water Association, Inc.",Firm,,
13891,Big Wood Canal Company,Firm,,
13893,"Bilbrey Ditch Company, Limited",Firm,,
13895,Blackfoot Younie Ditch Company,Firm,,
13896,"Blaine County Canal Company, Limited",Firm,,
13897,"Blanchard Cooperative Water Association, Inc.",Firm,,
13899,Boom Creek Canal Company,Firm,,
13902,Bruneau-Buckaroo Co-Operative Ditch Company,Firm,,
13903,Burgess Canal and Irrigating Company,Firm,,
13904,Butler Island Canal Company (The),Firm,,
13905,Butte and Market Lake Canal Company,Firm,,
13906,Cambridge Ditch Company,Firm,,
13907,"Canyon Creek Canal Company, Inc.",Firm,,
13908,"Canyon Ditch Company, Inc.",Firm,,
13909,Cedar Canal Company,Firm,,
13910,Cedar Mesa Reservoir and Canal Co.,Firm,,
13912,Cheapbeck Water Company,Firm,,
13913,"Cherry Grove Canal Company, Limited",Firm,,
13916,Chesterfield Canal and Reservoir Company,Firm,,
13918,Comeback Bay Water Association Inc,Firm,,
13919,Conant Creek Canal Company,Firm,,
13920,Consolidated Farmers Canal Company,Firm,,
13922,Washington Water Power,Firm,,
13924,Strive Commercial,,,
13926,Crane Creek Reservoir Administration Board,Firm,,
13927,Cub River Irrigation Company,Firm,,
13928,Curlew Irrigation and Reservoir Company,Firm,,
13929,"Curley Creek Water Association, Inc.",Firm,,
13930,"Deer Park Water Association, Inc.",Firm,,
13931,"Delmore Canal Company, Limited",Firm,,
13932,Dewey Canal Company,Firm,,
13933,"Dilts Irrigation Company, Limited",Firm,,
13934,Dingle Irrigation Company (The),Firm,,
13935,Draney Creek Canal Company LLC,Firm,,
13936,Dry Lake Canal Company (The),Firm,,
13937,Eagle Creek Irrigation Company,Firm,,
13938,"East Fork Ditch Company, Ltd.",Firm,,
13939,East Side Ditch Company,Firm,,
13941,Eastern Idaho Water Company,Firm,,
13942,"Easy Livin' Acres Water Association, Inc.",Firm,,
13943,"Egin Bench Canals, Inc.",Firm,,
13944,"Emerald Estates Water Association, Inc.",Firm,,
13945,Enterprise Ditch Company (The),Firm,,
13946,"Enterprize Canal Company, Ltd. (The)",Firm,,
13947,Eureka Ditch Company (The),Firm,,
13948,Eureka Water Company (The),Firm,,
13949,Fairview Lateral Canal Company,Firm,,
13951,"Farmers Co-Operative Irrigation Company, Limited",Firm,,
13952,Fish Creek Irrigation Company,Firm,,
13953,Fish Haven Water Users Company (The),Firm,,
13954,"Fox Creek Canal Company, Incorporated",Firm,,
13955,Franklin Ditch Company,Firm,,
13957,"Garden Creek Irrigation Company, Inc.",Firm,,
13958,"Garden Water Company, Limited",Firm,,
13959,"Garfield-Ucon Canal Company, Inc.",Firm,,
13960,Georgetown Irrigation Company (The),Firm,,
13961,"Gini Ditch Company, Inc.",Firm,,
13962,Glencoe Irrigation Company,Firm,,
13969,Inland Empire Paper Company,Firm,,
13972,TRASK Group LLC,,,
